col1,col2
no,realDonaldTrump I think I speak for a lot of people when I say you need some Ritalin. DonaldTrump CNN Democrats Republican
no,GrampCamp Ivr already had 2 doses of my ritalin. Im so in need of sleep I cant get off of Twitter.
no,This one is about the dangers of prescription drugs to students especially Ritalin
no,ritalin gives me night terrors
no,They say that kids a problem where the fuck is his Ritalin
yes,xoDamage sad to see you wont be attending. Youre going to miss a good event.
no,Imma spazz out before i take some ritalin or adderall on god
yes,does anyone wanna trade xannies or ritalin or adderall idk im not picky for companionship
no,found out ritalin is very close in composition to meth so thats fantastic
no,Mojo Rawley Cocaine is a hell of a drug WWEBattleground
no,3 kilos of cocaine found stashed in luggage compartments of 2 JetBlue planes in Florida.
no,KTDarkAngel it looks like you have crack cocaine on your finger ??
yes,BeckyBalboa Buy me a brick of cocaine. ?
yes,Id rather be addicted to Xanax than be a shitty person. Idk.I just really like cocaine
yes,Stayed at the hospital for 3 hours yesterday for nothing . Im still having chest pains and dont know whats wrong smh
no,RT historyepics Coca cola started out as wine with cocaine in it.
no,Forbes list Abdilaahi Hassan the biggest cocaine dealer in europe
yes,See cocaine isnt like those scruffy drugs. Its a classy drug for cool sophisticated people.
no,Wallah i should open a massive cocaine farm in burco. Truck it through Djibouti then Eritrea then to Egypt. From Egypt ship to Turkey
no,RT IndyUSA Nephews of Venezuelan first lady tried to smuggle cocaine into US
no,RT PostGradProblem EXCLUSIVE Timeline Of Guy Who Went To Mexico To Die But Is Saved By Hookers And Coke
no,Cigarettes almost bad as cocaine to me
no,Id rather over dose on cocaine then kick it with my old flame
yes,Dropped out of school just to sell cocaine and weed
no,Innocent Man Jailed for a Month His Life Ruined After Cops Mistook Soap for Cocaine
no,182 Pounds Of Cocaine Found On Bus That Traveled From Mexico To Wilmington
no,How LSD and shrooms could help treat anxiety addiction and depression
yes,RT srslytrippin Take LSD and see a new world?
yes,Lewis Black Not even LSD prepared me for Trump
yes,I Just want to do LSD in chinnatown
yes,Lets take a trip on LSD
yes,RT SarahKernochan story of my first acid trip on the blog didnt mean to take it but oh well too late bombs awa…
no,Steve Jobs took LSD in a field and thought up the idea behind Apple and Apple computers. if anything hes the acid dropping genius
yes,FINALLY A REASON FOR ME TO DO LSD AND SHROOMS
yes,lSD opens your mind. Youll never have that focus in your life sober. You may ask how do someone thought of inception. There you have it.
yes,bringing lsd to Florida will probably be the best decision Ive ever had???
no,Tech heads in Silicon Valley are getting inspired by LSD to be more creative via bicontributors
yes,Dallyfromcali13 LSD is beautiful.
no,The other day I dreamt I had done some lsd and my trip was just me watching Kai dance to Lucky One
no,There are two girls in the dorm above mine talking about the riskreward of LSD
yes,RT FatNick Opiates.....I love you...... But I hate you...
no,"Theres not a classification system for drugs. None are worse than the other ""At least I wasnt on meth..."" Because opiates are better ?"
no,Ach. Sent to hospital today as apparently the only medications I can tolerate are opiates. smackaddictbyseptember iamfineandhome
yes,Whos got opiates or xans hmu
no,RT UnkleSilkk Opiates is the problem these days.... Lot of yall junkies just dont know it yet
no,RT PharaohFahmy Xanax opiates heroin etc. Dont throw away your life to chase a high. Find happiness within.
yes,my higher power is opiates
no,Over 40 Americans will die from Opiates today some from our FDA Approved Oxys/Benzos some heroin which comes from ISIS. BuildTheWall
no,Why Doctors Love Prescribing Opiates Instead of Cannabis For Chronic Pain NaturalMedicine
yes,RT FXTVaddict Me I know I failed my drug test but somebody could have spiked my coffee with opiates and THC.HRMe Fine Ill start c…
no,If anyone is interested here is something I wrote back in 2011 when going through a HUGE and INSANE addiction and dependency on opiates
no,americans still dont understand that caffeine sugar are drugs just like meth opiates I aint telling them shit
yes,RT EBenita0517 I only take opiates to protect you.
no,RT imtufts Dont do drugs. Especially opiates. When SHTF you do not want to need drugs of any sort. Reject FEMA camps WEEN NOWnot talk…
yes,all i want for christmas is opiates ?
no,RT artsrosch The novel tht musicians will love IARTG amwriting jazz Coltrane recovery opiates dope
no,Fuck opiates never again
no,You can actually be addicted to cheese. When your body digest it opiates are realised trigged the addictive element.
no,How To Use Cannabis To Get Off Of Opiates And Opiate Addiction
yes,RT EBenita0517 I only take opiates to protect you.
yes,11 opiates im still awake
no,Senior Citizens Addicted to Opiates | Painkillers Kill
no,Completely impossible to do anything while fucKed up on opiates.
no,McDonalds serving salads is like a heroin dealer giving you a pamphlet for rehab
no,Heroin Kills You
no,Every nigga i know that ever drank lean is retarded. Deadass. Its like liquid heroin. Niggas brains just melting
yes,i doubt heroin is the answer but its worth a shot
no,The 21 y.o. is charged w/ poss. of heroin drug paraphernalia after Kayly Lockabys16 body was found. WKYT 11.
yes,Heroin its my wife and its my life.
yes,Codeine i love u
yes,Guess Im on a codeine diet
yes,Hate to be contributing to the opioid problem in a America but god damn Tylenol with codeine is a life saver
yes,captainparsnip Nopes codeine and ibru will have to do.
no,Codeine crazy really the greatest song of all time Ive decided.
yes,Is it ok to cry when you dying inside ?. Seem like codeine is the only thing that take my mind from the lies
yes,Drop 2 ounces of codeine in my Minute Maid
yes,I sip Codeine w/ a passion
yes,codeine makes me sleep good
no,When your little neighbor starts posting snapchats of codeine and soda and you gotta check his dumb ass
no,I hate alcohol and anyone who drinks/abuses it
yes,fakekarlie Morphine washed down with a beer. Youll have the best nights sleep ever
no,Urieshair ooh well i remember when i was at the hospital for like 3 months they gave me morphine and the pain was still there lol
no,The morphine shots were probably the only thing that kept me going in that place. Smelled liked death to the power of 5000...
no,Lmfaoooooo me as fuck when I was at the hospital on morphine ?
yes,Started on morphine now Im on norcos ???
yes,I hate the way morphine makes me feel ?
no,When ur boyfriend calls you from hospital because hes broken his jaw in 3 places but tells you not to worry because hes high on morphine?
no,The drug is 100 times as potent as fentanyl and fentanyl is 100 times more potent than morphine. Damn it takes...
yes,what do normal people when they get sad they reach out to friends or family i think. thats not an option. i do morphine
yes,My leg fucking hurts man I want my dilaudid and morphine back
yes,This morphine be having me feel good af
yes,AH BREAKFAST OF CHAMPIONS VODKA MORPHINE AND A BLUNT
no,Starting my weekend with a new morphine patch for my bones and a lemsip for my razor throat. Bringing sexy back.
no,Holy shit. Morphine definitely numbs the pain. Physically mentally and emotionally.
no,If you ever feel bad about yourself just remember. I thought PCP and PABST was the same thing until yesterday.
no,AbrianaWright lol. The loud was PCP on the low.
no,RT DanBilzerian I think Im gonna try PCP when Im 75 and just go around lifting up cars maybe go to the gym and talk shit to everyone
yes,I was fucked up on PCP when I saw neezar. I tried to punch his dragon.
no,Meet the Walter White of fentanyl
no,So fake bars full of fentanyl ?? idk bout that one
yes,THIS THAT FENTANYL. I GOT THE POWER SEEING IF THEY LIKE IT
no,My pain doc just took me off fentanyl put me on methadoneShouldnt I have at least been given a heads up to start a heroin problem first
yes,lol fentanyl had me dreaming real hard and vivid about the most crazy shit
no,RT AbeOudshoorn Its not Oxycontin that is the issue its not Fentanyl that is the issue its addiction. Addiction is the issue strike…
no,The drug is 100 times as potent as fentanyl and fentanyl is 100 times more potent than morphine. Damn it takes...
no,Fentanyl is a synthetic opioid linked to the Mexican drug cartels and its showing up in Snohomish County
yes,Winners never quit Fentanyl
no,How Doctors And Big Pharma Helped Create North Americas Fentanyl Crisis
no,Fentanyl The Drug Deadlier Than Heroin via torontorappers VICE
no,"purplebuckeye Fentanyl is apparently no joke and if you go like .0001% over your threshold its game time. Couldnt imagine ""Carfentanil."""
no,Fentanyl patches that last 72hs or an assortment of oral opiates every 68 hs... Quite the dilemma...
no,I liked a YouTube video Fentanyl The Drug Deadlier than Heroin
no,Ya girl spent at least 10 hours in the ER yesterday and was injected with dilaudid/hydromorphone ?
yes,you taking morphine homie you a moron
yes,yes but like morphine you feel better at the end
yes,"i'd answer but i need more morphine for my ""drip""."
yes,"take away their medicin, no oxygen, just morphine "
yes,well they gave me morphine so iâ€™m feeling much better lol
yes,sometimes all you need is morphine
yes,"i ain't feelin none of you niggas, i'm on morphine."
yes,"just like nicotine, heroin, morphine suddenly i'm a fiend and you're all i need all i need yeah, you're all i need its youuu babe"
yes,"feels like nicotine, heroine morphine, all i need"
yes,it must feel like a shot of morphine after 4 painful years.
yes,i just need a hit of morphine
yes,you need some morphine close by
yes,"iâ€™m going to go shoot myself in the head now. iâ€™d od on my morphine, but iâ€™m running low."
yes,"yeah, but that morphine's feeling pretty fine..."
yes,oh shit i could use some morphine . hope all goes well â¤ï¸
yes,no painkiller can help the pain of frickin braces i need fucking adderall or morphine
yes,thanks. i hope so too. just had some morphine but not feeling much better for it x
yes,man i want roxy reynolds to take my soul... resuscitate me and do it again
yes,might get addicted to oxycodone since random insta accounts selling it keep following me
yes,so this show is about a child abusing percs to get good at chess everything on tv sucks
yes,you gotta basically get shot to get percs so i can only imagine what drank gonna cost ðŸ¤£
yes,apparently i accidentally took a percocet thinking it was tylenol and i was telling my mom how well the tylenol was working lamakaosn
no,A 30 year old Six Nations woman was arrested and charged with possession of Hydromorphone Friday about 2 in the...
no,RT lyricintent Girl you must be methadone because after I get you in my mouth and swallow every bit of you my cravings get easier to…
no,First methadone clinic to open in North Dakota
no,mrmocaine i was on methadone for my leg and got off that before I moved and Im still taking immodium every day to get by. Beats drugs tho
no,RT GPLLP Judge says RCMP manufactured terror plot overturns guilty verdict of 2 methadonedependent former drug addicts
yes,Oddly I havent been listening to them much at all. Maybe because Ive moved past methadone and onto the hard stuff
no,RT ldobsonhughes Police babysat the defendants each day even providing methadone. They drove them to the bomb location they had chosen a…
no,RT ldobsonhughes Police babysat the defendants each day even providing methadone. They drove them to the bomb location they had chosen a…
no,First methadone clinic to open in North Dakota INFORUM To date 18 physicians in North Dakota…
no,Liquid Methadone Cheap Marijuana Seeds Flowering Cannabis Effects Of Alcoholism
no,Eminem once took so much Methadonedoctors informed him that he had taken the equivalent of 4 bags of heroinand was about 2 hours from die
no,HillaryClinton POTUS realDonaldTrump they would take them to the methadone clinic in the morning
no,I am so pissed off... Our lovely government still wont cover my medication. Yet if I was a junky on methadone...
no,RT IRETApgh Study finds methadone clinics dont increase crime in Baltimore neighborhoods
no,I liked a YouTube video from z8jax CSGO Frags Methadone
no,Latest review article about treating opioid use disorders from New England Journal of Medicine suboxone methadone
no,The Stigma Behind Opioid Replacement Therapy opioids heroin methadone
no,Methadone is the most popular addiciotn treatment it accounts for 1/3 of Americas opioid overdoses. Diacetylmorphine is a much safer option
no,So apparently the Methadone clinic is NOT a Pokestop and they WILL ask you to leave.
no,Starbucks early in the morning looks like a Methadone Clinic
no,"Overheard ""There are so many Drowzees around here I wonder if its because of the methadone clinic"""
no,sherlock fucking holmes of Rx just uncovered target barbiturates. well well what to do..
no,will only the three bs can kill you beerbarbiturates and bars jasmine but guns cant kill you so were good
yes,I feel the barbiturates in my blood
no,AlexWodak also Barbiturates = sleeping pills equals impairment = known drugs of dependence and abuse
no,kathygriffin Id rather take a handful of barbiturates chase them with Jack. I remember when you were funny not such a political hack.
no,Ill hit you as hard as barbiturates in the ribs with a switch and stitch you at the same time before you can clinch to itsmh
no,norskole Probably Rx barbiturates. Theyre the Millennial thing now. Legal at Work make you calm docile STONED.
no,The Use of Benzodiazepines for Tinnitus Systematic Review
no,RT MadInAmerica “Study Reveals Benzodiazepines Frequently Prescribed to HighRisk Patients”benzos
no,RT EurekaMag EurekaMag 15benzodiazepines as CCKB antagonists Effect of halogen substitution at the benzofused ring on…
no,EurekaMag 15benzodiazepines as CCKB antagonists Effect of halogen substitution at the benzofused ring on…
no,RT grimonprezf Impact of P4P program on physicians benzodiazepines prescription CAPI contract does not allow savings
no,RT 86budyanskiy Both Costa and Haefely showed that the benzodiazepines work by augmenting the actions of a neurotransmitter called gamma…
no,Impact of P4P program on physicians benzodiazepines prescription CAPI contract does not allow savings
no,RubinReport See they put Benzodiazepines and soma as less dangerous than steroids its bullshit
no,.realDonaldTrump Treatment 4 bipolar mania are lithium anticonvulsants antipsychotics benzodiazepines get obamacare 4help taxfrauddon
no,ncfarside LosinDonald billmaher Treatment 4 bipolar mania include lithium certain anticonvulsants antipsychotics and benzodiazepines.
yes,ActuallyNPH Ive been a nurse for 27 years and had 5 back surgeries.. Weed helps. Muscle relaxers.. Benzodiazepines short term
no,Benzodiazepines Basic Information Withdrawal via YouTube
yes,Good thing benzodiazepines are cheaper than a bag of pot am I right
no,RT Rivapendon Not sure what Benzos are Click here to find outbenzos etizolam
no,Both Costa and Haefely showed that the benzodiazepines work by augmenting the actions of a neurotransmitter called gammaaminobutyric acid
yes,oldstocknews Bill Clinton was extremely high on benzodiazepines. As a drugged up clown he is entertaining.
no,laurabullock1 grandmaj2 skinnypresident rlisaacks dnova03 maybe a drug combo Benzodiazepines will do that damage to an individual
no,"RT HouseFeminist ""Outside"" is just a scam manufactured by Big Pharm to sell more allergy medicine and benzodiazepines"
no,Brain Damage from Benzodiazepines The Troubling Facts Risks and History of Minor Tranquilizers | Psychology Today
no,RT intrayspect Alcohol led to 30700 deaths in America last year. BenzodiazepinesValium killed 8500. These drugs are legal lethal an…
no,"RT amaditalks The second most common form of ""hydrocodone overdose"" is actually mixing it with benzodiazepines like Ativan or Xanax comm…"
no,RT forestfr1ends we got sherbet bombs jelly babies benzodiazepines and most prescription based sedatives. we got wine gums...
no,grillzoid What in the world Big Pharma Parmigiana Do they cover the chicken breast in benzodiazepines instead of cheese
no,people say BenZo and i just think of benzodiazepines.
no,mhcreek Hahahaha Thats way different than antidepressants. Benzodiazepines are for taking the edge off. AllisulliOTProf
yes,"If youve seen the movie ""Limitless"" then you know how I am when I take Benzodiazepines....??"
no,Three main classes of synthetic drugs include benzodiazepines barbiturates and nonbenzodiazepinenonbarbiturate drugsnclex nursingschool
no,"Im not sure but I think benzodiazepines must hang out at ""The Xanax Bar""BipolarHumour FightStigmaWithHumour FightStigmaWithEducation"
no,RT psmchsRT ???????RTBenzodiazepines with Pregnant Patient on Mechanical Ventilation ?
no,RT Rivapendon Not sure what Benzos are Click here to find outbenzos etizolam
no,"Professor is explaining benzodiazepines in class this girl just asked ""sir is this why I dont remember anything when Im barred tf out"""
no,KazmierskiR worldnetdaily no she just forgot to take her benzodiazepines
no,benzodiazepines A scraping or rubbing away of the skin or other surface.
yes,I am so relieved I have a cracker box full of benzodiazepines mood stabilizers otherwise I wouldnt be able to live in the real world
no,IntervalThinks AnneCooke14 Media coverage Like Esther Rantzen and the benzodiazepines scandal
no,benzodiazepines Swelling of the membranes that cover and protect the brain and spinal cord.
no,But heres to the pain of only seeing you when I dreamAnd heres to that second hit of benzodiazepines
no,SeaWorld has been giving benzodiazepines psychoactive drugs to some of its orcas on a regular basis OpSeaWorld
no,TforTrouble maybe you need to consider benzodiazepines Tristan
no,Treating anxiety often involves cognitivebehavioral therapy and antidepressant medications. Benzodiazepines are...
no,Excuse me sir the Kingdom of God is at hand but do you have a moment to talk about the lifechanging power of benzodiazepines
no,Opiates benzodiazepines tranquilizers....shit aint nothing to fuck with.
no,Instead of benzodiazepines try a brief news blackout
no,Withdrawing Benzodiazepines in Patients With Anxiety Disorders
no,Xanax is a famous brand for benzodiazepines used in many local hospital.Get familiar?
no,bindruid How long have you been off benzodiazepines It does take time but you will heal a lot with time.
yes,JohnEJefferson happy to help. Legal diazepam is never blue whatever the strength.All benzodiazepines are highly addictive sadly
no,RT AustPrescriber Dentists Are patients seeking prescriptions for benzodiazepines or opioids to sell them
no,Doctorprescribed benzodiazepines lead to physical dependence. Man forced to cold turkey dies.
no,RT straightnofiltr Peace through benzodiazepines.
no,eyesharr Lool lets not think negatively already All youre going to be doing is providing Aston with benzodiazepines coz they need it ?
no,RT landpsychology Overdose of heroin is usually caused by interactions with other depressant drugs like alcohol or benzodiazepines.
no,ALCOHOL BENZODIAZEPINESA resource for people who use drugs...
no,RT Emilymft Benzodiazepines not recommended for patients with PTSD or recent trauma via WKHealth EurekAlertAAAS
no,RT jordanfallis TruehopeEmpower Theyre so dangerous too. They can deplete critical nutrients
no,RT DrAlakbarov Drug workers say the problem of fake Valium and other benzodiazepines is out of control in towns across Scotland.
no,I started my day with such self care I am in awe. Healthy breakfast spiritual stuff benzodiazepines vs anxiety. So good.
no,Found the Benzodiazepines. Lit win.
yes,RT landpsychology Overdose of heroin is usually caused by interactions with other depressant drugs like alcohol or benzodiazepines.
no,Otherwise online pharmacy page buy amoxicillin without a prescription tilting buy zithromax clamping benzodiazepines. …
no,FannibalLife amyjames1203 This will probably require extensive planning and benzodiazepines.
yes,RT landpsychology Overdose of heroin is usually caused by interactions with other depressant drugs like alcohol or benzodiazepines.
no,WickedDee Its alprazolam and alprazolam are benzodiazepines
yes,WickedDee You NEED to stop. benzodiazepines are really harmful. Im worried about you ?
no,brothersosborne joerogan LAWeekly opiates and benzodiazepines are killing people and lead to other substance abuse.
no,Sam Esmali always on some psychedelic trippy barbiturates when writing Mr Robot
no,RT movable1 The birth of modern chemistry was the birth of barbiturates . . . and the end of vitalism via mother…
no,RT MometrixNCLEX Three main classes of synthetic drugs include benzodiazepines barbiturates and nonbenzodiazepinenonbarbiturate drugs…
no,I think NancyPelosi is on barbiturates Holy shit shes burnt TrumpTrain
no,Three main classes of synthetic drugs include benzodiazepines barbiturates and nonbenzodiazepinenonbarbiturate drugsnclex nursingschool
no,Today I signed a petition to legalize assisted suicide in my own mix of blood alcohol and barbiturates.
no,The principles of justice are chosen behind a veil of barbiturates. John Rawls messupaquote
no,it hurts to the core..need barbiturates statDolceAmoreConnivance
no,RT Devon4Real AnthonyFolsomSr NYGovCuomo id rather imbibe a plant than be peddled opioids barbiturates by legal drug pushers backed…
no,AnthonyFolsomSr NYGovCuomo id rather imbibe a plant than be peddled opioids barbiturates by legal drug pushers backed by big Pharma
yes,word. they out here eating fent and heroin
yes,you have the most amazing restrooms to shoot heroin in
yes,what's the surprise  me involved anyhow anyhow ...thank u heroin
yes,patricia go fucking shoot some more heroin youâ€™re a nobody
no,home drug tests are BS I put lemonade mixer water in one it said I failed for THC barbiturates LOL
no,BREAKING NEWS France prevents BRENTRY by staffing Calais with a tired goat on barbiturates. Brexit Brentry
yes,DavidKHarbour LMAO Ill bring the barbiturates if you bring the booze meet you econolodge epicenter of rude bed interactions in 15 ??
yes,RT Nudah WeNeedFeminlsm this man also abused several barbiturates and killed himself after a 48 hour drug binge. we need all men to be l…
no,It only takes one of me to totally humiliate you. Like taking OxyContin from a comatose Limbaughgunsense
no,RT michaelallenmar Research Harry Reid Dorgan Amendmntor all of HILLARYs Oxycontin Contributions..not good for your script prices h…
yes,HE is already at the drug insult stage. That means hes into his OxyContin stashgunsense
no,RT latimesharriet Inside an L.A. OxyContin ring that pushed more than 1 million pills. What the drugmaker knew
no,RT T3CHN9CIAN Oxycontin RT KUSHCommon Cannabis is safer then
no,AlwaysTrump realDonaldTrump Yes Health care professionals salute you Rx for weed vs. Vicodin OxyContin Percocet Valium Ambien ...
yes,Order High quality oxycontin Online15 discountNo Prescription Required
yes,oxycontin bitch Im toxic
yes,RT AbeOudshoorn Its not Oxycontin that is the issue its not Fentanyl that is the issue its addiction. Addiction is the issue strike…
no,LordGalactus yes lol OxyContin for my back pain
no,RT jeffgrantct More than 1 million OxyContin pills ended up in the hands of criminals addicts. What the drugmaker knew LA Times
no,I am coming off of 8 years on OxyContin and Dilaudid I posted in the need to talk forum but I think this mi...
no,RT WSJRisk Purdue Pharmas confrontation of an latimes investigation is the latest crisis of the week
yes,RT quinncy Man Back On OxyContin
yes,purduepharma that shit you put in ur pills to gel them up is highly wack. Are u ever planning on Making OxyContin Great Again ??
no,As people hooked on Vicodin OxyContin and Percocet find it harder to get their medicines from the doctor they...
no,PlinytheElder erasmuslijn like... lets talk about oxycontin
no,What a sad lonely driedup disgusting horse face cunt you are. Please take a full bottle of OxyContin.
no,"RT EquityArcade ""Dr. Mario throwing pills at people is why were all addicted to Oxycontin"" SmashBros"
yes,The pills into laced blunts got me gone boy The Oxycontin and heavy syrup got me looking in the mirror saying Is you a dope fiend or a dop
no,OxyContin got her with a body count..
yes,mmfa Rush is a fat OxyContin addict.
no,Bills smoking oxycontin or something listening to slicks Bt¢h is that painful you need hillbilly heroine to endure
no,I got my homies oxycontin xanny bar beside me yahhh..
no,PeasParsley sup bruh one of the highlights of last night was you being harassed by that local OxyContin goblin
no,BarroldBonds Im concerned about rushed through Oxycontin trials due to lobbying. Am I prosuffering as a result
no,AnnCoulter the US will be a much better place when you OD from heroin and OxyContin. Break a leg you insufferable cunt.
no,oscarkurucastro oh same Im snorting some OxyContin tryna overdose AF
no,PublixAssists U sell oxycontin that kills peopl n u want to stop Cannabis a safe alternative that has never killed anyone. I boycott U
no,hrkbenowen duratote youll have to excuse Rush he was strung out on OxyContin when he said that
no,Just a warning loves. Im on OxyContin for pain so if something doesnt make sense just tell me please and I will fix it.
no,RT ValVenisEnt PUBLIX DONATED 800000.00 TO FLORIDAS ANTICANNABIS CAMPAIGN IN ORDER TO PROTECT THEIR ALCOHOL CIGARETTES AND OXYCONTI…
yes,this kid at my job takes 2 OxyContin throughout his shifts and still functions wtf lol
no,If that is antivax being mad about Oxycontin trials being passed a long is propain.
no,Coastal Horizon representatives say OxyContin and Percocet are the top two abused opiates among teenagers
no,limbaugh will you be having Oxycontin and hookers
no,You want a description of hell OxyContins 12hour problem InvestigatingOxy oxycontin heroin overdose
no,RT michaelallenmar DEMEXITResearch Harry Reid Dorgan Amendmntor all of HILLARYs Oxycontin ContributionsTHINK
yes,Hello im swollen af and taking oxycontin so cant feel anything
no,YOU CAN LISTEN TO THE LORD???????or you can listen to those?that want to sell your kids lithium and OxyContin?????
no,Treat Big Pharma like Big Tobacco Nah Just let everyone keep dying
no,RT jeffgrantct Purdue Pharma Confronts Allegations of Knowledge that it Knew OxyContin was sold illegally did nothing WSJ
no,Inside an L.A. OxyContin ring that pushed more than 1 million pills. What the drugmaker knew addiction
no,txicabs oxycontin lmao oxytocin is a hormone in the body oops
no,Nah its the oxycontin nods kickin in.
no,Defying medical board FDA approves painkiller that could be the next Oxycontin via MotherJones
no,"GlennDonaldson mrbbk only if we can start calling oxycontin ""hick tacs""."
yes,vdare Time for Bill to break out the oxycontin
no,Forget Trump or Hillary if the doctor writes me more oxycontin I can fix it.
no,RushLimbaugh I hope your OxyContin hillbillyheroin riddled ass is watching rushlimbaugh DNCinPHL DemsInPhilly
no,emptywheel mmfa ? Yep. Where is that fat oxycontin addict nowadays ? TrumpTheTraitor MAGA RahRahRah
no,More than 1 million OxyContin pills ended up in the hands of criminals and addicts. What the drugmaker knew
yes,I love OxyContin omg
no,Amid opioid epidemic rules for drug companies are loosened
no,RT anthony76730120 OPRAH WINFREY EXPOSED THAT SUBURBAN HIGH SCHOOLS DRUGS OF CHOICE ARE OXYCONTIN HEROIN IN ILLINOIS AINT DAT A BIT…
no,16x9 Dying By Prescription Oxycontin controversy via YouTube
no,Drug Industry Is Responsible for Mass Addiction via mercola health BigPharma addiction oxycontin DrugAbuse
